,word,num_words,ranking,ranking_log,num_words_log
554,contrário,12,554,6.31716468675,2.48490664979
555,testa,12,555,6.31896811375,2.48490664979
556,pensamento,12,556,6.32076829425,2.48490664979
557,primeiros,12,557,6.32256523993,2.48490664979
558,atrás,11,558,6.32435896238,2.3978952728
559,sombra,11,559,6.32614947316,2.3978952728
560,Minha,11,560,6.32793678373,2.3978952728
561,andava,11,561,6.32972090552,2.3978952728
562,botas,11,562,6.33150184989,2.3978952728
563,única,11,563,6.33327962814,2.3978952728
564,casar,11,564,6.3350542515,2.3978952728
565,pareceu,11,565,6.33682573115,2.3978952728
566,ambição,11,566,6.3385940782,2.3978952728
567,interesse,11,567,6.34035930373,2.3978952728
568,ambos,11,568,6.34212141872,2.3978952728
569,público,11,569,6.34388043413,2.3978952728
570,reflexão,11,570,6.34563636083,2.3978952728
571,nova,11,571,6.34738920966,2.3978952728
572,amigos,11,572,6.34913899138,2.3978952728
573,virtude,11,573,6.35088571671,2.3978952728
574,contar,11,574,6.35262939632,2.3978952728
575,prazer,11,575,6.3543700408,2.3978952728
576,Vamos,11,576,6.3561076607,2.3978952728
577,desse,11,577,6.35784226651,2.3978952728
578,andando,11,578,6.35957386867,2.3978952728
579,confesso,11,579,6.36130247757,2.3978952728
580,coxa,11,580,6.36302810354,2.3978952728
581,ouro,11,581,6.36475075685,2.3978952728
582,fome,11,582,6.36647044773,2.3978952728
583,fiz,11,583,6.36818718635,2.3978952728
584,cadáver,11,584,6.36990098283,2.3978952728
585,Nunca,11,585,6.37161184723,2.3978952728
586,puro,11,586,6.37331978958,2.3978952728
587,cama,11,587,6.37502481983,2.3978952728
588,pura,11,588,6.3767269479,2.3978952728
589,presente,11,589,6.37842618365,2.3978952728
590,descer,11,590,6.3801225369,2.3978952728
591,entrar,11,591,6.38181601741,2.3978952728
